cited,cites
W2194775991,W1903029394
W2194775991,W1677182931
W2194775991,W2124509324
W2194775991,W1536680647
W2194775991,W2102605133
W2194775991,W2097117768
W2194775991,W2066941820
W2194775991,W1533861849
W2194775991,W639708223
W2194775991,W2163605009
W2194775991,W2117539524
W2194775991,W1861492603
W2194775991,W2155893237
W2194775991,W1665214252
W2194775991,W2179352600
W1901129140,W1677182931
W1901129140,W2155893237
W1901129140,W1903029394
W1901129140,W2163605009
W1951724000,W2172199324
W2163605009,W2097117768
W2163605009,W1665214252
W2919115771,W2022508996
W2919115771,W2160815625
W2919115771,W2163922914
W2919115771,W2157331557
W2919115771,W2145339207
W2131271579,W2170551349
W2131271579,W2036897871
W2099540110,W2167279371
W2170551349,W2119180969
W2170551349,W2141458291
W2170551349,W4247053599
W2170551349,W2171777347
W2169456326,W2041257508
W2169456326,W2166810745
W2169456326,W2096465161
W639708223,W2179352600
W639708223,W1536680647
W639708223,W2088049833
W639708223,W2102605133
W639708223,W1903029394
W639708223,W639708223
W639708223,W1861492603
W639708223,W1849277567
W639708223,W2117539524
W639708223,W2155893237
W639708223,W1665214252
W639708223,W2097117768
W639708223,W2194775991
W2152207030,W2132632499
W2152207030,W2140803428
W2097117768,W2102605133
W2097117768,W2163605009
W2097117768,W1849277567
W2097117768,W2168231600
W2097117768,W104184427
W2160378127,W4320301318
W2160378127,W2127322768
W2963446712,W2183341477
W2963446712,W2097117768
W2963446712,W1677182931
W2963446712,W2194775991
W2963446712,W2302255633
W2963446712,W2117539524
W2963446712,W1903029394
W2963446712,W2163605009
W2963446712,W2095705004
W2963446712,W104184427
W2963446712,W2156387975
W2963446712,W2964137095
W2153635508,W1576520375
W2132632499,W2111211467
W1969360633,W2024175762
W1969360633,W2101547779
W1861492603,W2031454541
W1861492603,W2102605133
W1861492603,W125693051
W1861492603,W1861492603
W1861492603,W2110158442
W1861492603,W2031342017
W1861492603,W2163605009
W2146512944,W2137526110
W2146512944,W2138207763
W2146512944,W2134526812
W2146512944,W1999574084
W2146512944,W2110905563
W2146512944,W2107018762
W2146512944,W2107060225
W2146512944,W2010457001
W2117539524,W2110158442
W2117539524,W2037227137
W2117539524,W2115579991
W2117539524,W2102605133
W2117539524,W2179352600
W2117539524,W2163605009
W2117539524,W1861492603
W2117539524,W1606858007
W2117539524,W2141125852
W2117539524,W2031342017
W2117539524,W2088049833
W2117539524,W2027922120
W2117539524,W1849277567
W2117539524,W2155893237
W2799524357,W2311203695
W1903029394,W1849277567
W1903029394,W2102605133
W1903029394,W2155893237
W1903029394,W2022508996
W1903029394,W2037227137
W1903029394,W125693051
