cited,cites
W2194775991,W1536680647
W2194775991,W1677182931
W2194775991,W1836465849
W2194775991,W1903029394
W2194775991,W2097117768
W2194775991,W2117539524
W2194775991,W2613718673
W2194775991,W639708223
W1901129140,W1677182931
W1901129140,W1903029394
W1951724000,W2172199324
W2919115771,W2145339207
W639708223,W1536680647
W639708223,W1903029394
W639708223,W2097117768
W639708223,W2117539524
W639708223,W2194775991
W639708223,W2618530766
W639708223,W639708223
W2963446712,W1677182931
W2963446712,W1836465849
W2963446712,W1903029394
W2963446712,W2097117768
W2963446712,W2117539524
W2963446712,W2183341477
W2963446712,W2194775991
W2963446712,W2302255633
W2963446712,W2964137095
W2963037989,W1536680647
W2963037989,W2097117768
W2963037989,W2109255472
W2963037989,W2117539524
W2963037989,W639708223
W2896457183,W2525778437
W2896457183,W2962739339
W2896457183,W2963403868
W2896457183,W2963748441
W2618530766,W2097117768
W2618530766,W2194775991
W2799524357,W2311203695
W1903029394,W2097117768
W2963341956,W2962739339
W2963341956,W2963403868
W2963341956,W2963748441
W3106250896,W1536680647
W3106250896,W1903029394
W3106250896,W2097117768
W3106250896,W2117539524
W3106250896,W2183341477
W3106250896,W2194775991
W3106250896,W2613718673
W3106250896,W2949117887
W3106250896,W2963037989
W3106250896,W639708223
W2183341477,W1677182931
W2183341477,W1836465849
W2183341477,W1903029394
W2183341477,W2097117768
W2183341477,W2117539524
W2183341477,W3099206234
W2891378911,W2105321265
W2963150697,W1536680647
W2963150697,W1903029394
W2963150697,W2194775991
W2963150697,W2274287116
W2963150697,W2549139847
W2963150697,W2559085405
W2963150697,W2565639579
W2963150697,W2613718673
W2963150697,W2964350391
W2963150697,W603908379
W2963150697,W639708223
W2565639579,W1536680647
W2565639579,W1901129140
W2565639579,W1903029394
W2565639579,W2117539524
W2565639579,W2194775991
W2565639579,W2307770531
W2565639579,W2613718673
W2565639579,W2963150697
W2565639579,W2964137095
W2565639579,W3106250896
W2565639579,W639708223
W2161374186,W2169205464
W1836465849,W1677182931
W2752782242,W1514535095
W2752782242,W1677182931
W2752782242,W1836465849
W2752782242,W1903029394
W2752782242,W2097117768
W2752782242,W2117539524
W2752782242,W2183341477
W2752782242,W2194775991
W2752782242,W2274287116
W2752782242,W2302255633
W2752782242,W2307770531
W2752782242,W2531409750
W2752782242,W2549139847
W2752782242,W2612445135
W2752782242,W2613718673
W2752782242,W2884585870
W2752782242,W2951104886
W2752782242,W2963125010
W2752782242,W2963403868
W2752782242,W2963446712
W2752782242,W2964081807
W2752782242,W2964137095
W2752782242,W2964350391
W2752782242,W4297775537
W2752782242,W603908379
W2752782242,W639708223
W2963351448,W1536680647
W2963351448,W1903029394
W2963351448,W2194775991
W2963351448,W2565639579
W2963351448,W2570343428
W2963351448,W2613718673
W2963351448,W2963037989
W2963351448,W2963150697
W2963351448,W2964350391
W2963351448,W3106250896
W2963351448,W639708223
W2963163009,W2097117768
W2963163009,W2117539524
W2963163009,W2194775991
W2963163009,W2274287116
W2963163009,W2412782625
W2963163009,W2531409750
W2963163009,W2549139847
W2963163009,W2570343428
W2963163009,W2612445135
W2963163009,W2613718673
W2963163009,W2618530766
W2963163009,W2630837129
W2963163009,W2963125010
W2963163009,W2964081807
W2963163009,W2964350391
W2963163009,W3106250896
W2963163009,W4297775537
W2963163009,W639708223
W2963073614,W1836465849
W2963073614,W1901129140
W2963073614,W1903029394
W2963073614,W1905829557
W2963073614,W2099471712
W2963073614,W2117539524
W2963073614,W2173520492
W2963073614,W2331128040
W2963073614,W2340897893
W2963073614,W2475287302
W2963073614,W2949117887
W2963073614,W2963373786
W2963073614,W2963420272
W2963073614,W2963470893
W2963073614,W2963684088
W2962793481,W1903029394
W2962793481,W1905829557
W2962793481,W2099471712
W2962793481,W2117539524
W2962793481,W2173520492
W2962793481,W2194775991
W2962793481,W2331128040
W2962793481,W2340897893
W2962793481,W2475287302
W2962793481,W2963073614
W2962793481,W2963373786
W2962793481,W2963420272
W2962793481,W2963470893
W2962793481,W2963684088
W2412782625,W1536680647
W2412782625,W1901129140
W2412782625,W1903029394
W2412782625,W1905829557
W2412782625,W2097117768
W2412782625,W2194775991
W2412782625,W2271840356
W2412782625,W2302255633
W2412782625,W2340897893
W2412782625,W2613718673
W2412782625,W2963840672
W2412782625,W2963881378
W2412782625,W3106250896
W2412782625,W639708223
W2951912016,W2774072836
W2774486220,W1951724000
W2774486220,W2254509181
W1677182931,W1536680647
W1677182931,W1836465849
W1677182931,W2097117768
W1677182931,W2117539524
W1677182931,W2949117887
W3003668884,W2470646526
W3003668884,W3002539152
W3099878876,W2120575449
W3099878876,W2252795400
W3099878876,W2271840356
W3099878876,W2953384591
W3099878876,W2970971581
W3099878876,W3103145119
W3099878876,W3105353888
W3099878876,W4295312788
W2884585870,W1514535095
W2884585870,W2097117768
W2884585870,W2183341477
W2884585870,W2194775991
W2884585870,W2274287116
W2884585870,W2295107390
W2884585870,W2302255633
W2884585870,W2531409750
W2884585870,W2549139847
W2884585870,W2612445135
W2884585870,W2613718673
W2884585870,W2752782242
W2884585870,W2962858109
W2884585870,W2963446712
W2884585870,W2964137095
W2884585870,W2964350391
W2884585870,W3106250896
W2884585870,W603908379
W2963276645,W1973094248
W2963276645,W2401404581
W2963276645,W2504691963
W2963276645,W2766903152
W2963276645,W2807194798
W2570343428,W1536680647
W2570343428,W1836465849
W2570343428,W2097117768
W2570343428,W2117539524
W2570343428,W2194775991
W2570343428,W2274287116
W2570343428,W2949117887
W2570343428,W2963037989
W2570343428,W2964350391
W2570343428,W3106250896
W2570343428,W639708223
W2949117887,W1677182931
W2963881378,W1677182931
W2963881378,W1836465849
W2963881378,W1901129140
W2963881378,W1903029394
W2963881378,W1905829557
W2963881378,W2097117768
W2963881378,W2117539524
W2963881378,W2340897893
W2963881378,W2949117887
W2963881378,W2963840672
W2905811773,W2138071797
W2905811773,W2167344400
W2905811773,W2223470559
W2905811773,W2783817214
W2962858109,W1895577753
W2962858109,W1903029394
W2962858109,W1905882502
W2962858109,W1933349210
W2962858109,W2194775991
W2962858109,W2257979135
W2962858109,W2282821441
W2962858109,W2295107390
W2965373594,W2899663614
W2965373594,W2899771611
W2965373594,W2962784628
W2965373594,W2963323070
W2965373594,W2963341956
W2965373594,W2963403868
W2965373594,W2963748441
W2965373594,W2970597249
W2531409750,W1821462560
W2531409750,W1836465849
W2531409750,W2097117768
W2531409750,W2117539524
W2531409750,W2183341477
W2531409750,W2194775991
W2531409750,W2274287116
W2531409750,W2963285578
W2531409750,W2964350391
W2531409750,W4297775537
W2900569176,W1989277387
W2900569176,W2128601422
W2900569176,W2537623931
W2900569176,W2559588208
W2900569176,W4210702584
W2257979135,W2145339207
W2257979135,W2919115771
W3094502228,W2194775991
W3094502228,W2949117887
W3094502228,W2963091558
W3094502228,W2963341956
W3094502228,W2981689412
W3094502228,W3035524453
W3094502228,W3096609285
W2737217596,W2037496050
W2737217596,W2565282363
W2613718673,W1903029394
W2613718673,W2117539524
W2560023338,W1836465849
W2560023338,W1903029394
W2560023338,W2097117768
W2560023338,W2194775991
W2560023338,W2340897893
W2560023338,W2412782625
W2560023338,W2963840672
W2560023338,W2963881378
W2949177718,W2069089843
W2949177718,W2341539131
W2949177718,W2747877289
W2949177718,W2766437506
W2949177718,W2794480084
W2949177718,W2794521141
W2949177718,W2951506174
W2949177718,W2997280954
W2593436234,W2177317049
W2252795400,W4234856688
W2964309882,W1821462560
W2964309882,W1901129140
W2964309882,W1903029394
W2964309882,W1905829557
W2964309882,W2097117768
W2964309882,W2117539524
W2964309882,W2194775991
W2964309882,W2271840356
W2964309882,W2307770531
W2964309882,W2340897893
W2964309882,W2412782625
W2964309882,W2531409750
W2964309882,W2549139847
W2964309882,W2560023338
W2964309882,W2565639579
W2964309882,W2601564443
W2964309882,W2612445135
W2964309882,W2630837129
W2964309882,W2737258237
W2964309882,W2949117887
W2964309882,W2963125010
W2964309882,W2963881378
W2964309882,W2964081807
W2964350391,W1836465849
W2964350391,W2097117768
W2964350391,W2117539524
W2964350391,W2183341477
W2964350391,W2194775991
W2282821441,W1514535095
W2282821441,W1905882502
W2282821441,W2097117768
W2963420686,W1514535095
W2963420686,W1677182931
W2963420686,W1836465849
W2963420686,W1903029394
W2963420686,W2097117768
W2963420686,W2117539524
W2963420686,W2183341477
W2963420686,W2194775991
W2963420686,W2302255633
W2963420686,W2307770531
W2963420686,W2531409750
W2963420686,W2549139847
W2963420686,W2612445135
W2963420686,W2613718673
W2963420686,W2884585870
W2963420686,W2951104886
W2963420686,W2963125010
W2963420686,W2963403868
W2963420686,W2963446712
W2963420686,W2964081807
W2963420686,W2964137095
W2963420686,W2964350391
W2963420686,W4297775537
W2963420686,W4385245566
W2963420686,W603908379
W2963420686,W639708223
W2928665623,W1989277387
W2928665623,W2345356016
W2928665623,W2767891136
W2592929672,W1901129140
W2592929672,W1903029394
W2592929672,W1905882502
W2592929672,W2097117768
W2592929672,W2099471712
W2592929672,W2117539524
W2592929672,W2194775991
W2592929672,W2253429366
W2592929672,W2271840356
W2592929672,W2302255633
W2592929672,W2346062110
W2592929672,W2464708700
W2592929672,W2504150216
W2592929672,W2533800772
W2592929672,W2557738935
W2592929672,W2581082771
W2592929672,W2919115771
W2592929672,W2949650786
W2592929672,W2962914239
W2794480084,W2069089843
W2794480084,W2102212449
W2794480084,W2135937351
W2794480084,W2146512944
W2794480084,W2332292689
W2794480084,W2345356016
W2794480084,W2951506174
W2963470893,W1677182931
W2963470893,W1836465849
W2963470893,W1885185971
W2963470893,W1930824406
W2963470893,W2097117768
W2963470893,W2099471712
W2963470893,W2117539524
W2963470893,W2194775991
W2963470893,W2214802144
W2963470893,W2302255633
W2963470893,W2331128040
W2963470893,W2475287302
W2963470893,W2476548250
W2963470893,W2503339013
W2963470893,W2963684088
W2169205464,W1714980748
W2169205464,W2161374186
W2169205464,W2169205464
W2804822363,W2949223833
W2804822363,W4210702584
W2581082771,W2097117768
W2581082771,W2117539524
W2581082771,W2145339207
W2581082771,W2183341477
W2581082771,W2194775991
W2581082771,W2257979135
W2581082771,W2919115771
W2581082771,W2949117887
W3103145119,W2252795400
W3103145119,W2765081049
W2962739339,W2296283641
W2962739339,W2493916176
W2962739339,W2963748441
W2725897987,W2271840356
W2725897987,W2560167313
W2736601468,W1191599655
W2736601468,W1771410628
W2736601468,W2145339207
W2549139847,W1536680647
W2549139847,W1677182931
W2549139847,W1836465849
W2549139847,W1903029394
W2549139847,W2097117768
W2549139847,W2117539524
W2549139847,W2183341477
W2549139847,W2194775991
W2549139847,W2274287116
W2549139847,W2302255633
W2549139847,W2525778437
W2549139847,W2613718673
W2549139847,W2949382160
W2549139847,W2963150697
W2549139847,W2964137095
W2549139847,W2964350391
W2549139847,W639708223
W2964849163,W2102278945
W3036319615,W2406250479
W2340897893,W1536680647
W2340897893,W1903029394
W2340897893,W2117539524
W2340897893,W2613718673
W2340897893,W2919115771
W2340897893,W2963840672
W2340897893,W2963881378
W2340897893,W639708223
W2395611524,W1901129140
W2395611524,W1903029394
W2395611524,W2097117768
W2395611524,W2109255472
W2395611524,W2618530766
W2395611524,W2963840672
W2395611524,W639708223
W3005235420,W1900937478
W3005235420,W2614081736
W3005235420,W2917207851
W3005235420,W2949867654
W3005235420,W2951464304
W3005235420,W2952045272
W3005235420,W2963276645
W2963091558,W1522734439
W2963091558,W1677182931
W2963091558,W1836465849
W2963091558,W1947481528
W2963091558,W2117539524
W2963091558,W2194775991
W2963091558,W2549139847
W2963091558,W2565639579
W2963091558,W2619947201
W2963091558,W2949382160
W2963091558,W2963150697
W2963091558,W2963403868
W2963091558,W2963524571
W2963091558,W4385245566
W2963091558,W639708223
W3012099172,W3008696669
W2592811885,W2323326409
W2331128040,W1885185971
W2331128040,W1903029394
W2331128040,W1905829557
W2331128040,W1930824406
W2331128040,W2117539524
W2331128040,W2194775991
W2331128040,W2475287302
W2331128040,W2949117887
W2331128040,W2963684088
W2899283552,W2239232218
W2899283552,W2271840356
W2899283552,W2557283755
W2109255472,W2097117768
W2109255472,W2117539524
W2109255472,W2618530766
W2295107390,W2097117768
W2295107390,W2117539524
W3035524453,W1536680647
W3035524453,W1836465849
W3035524453,W1903029394
W3035524453,W2099471712
W3035524453,W2194775991
W3035524453,W2302255633
W3035524453,W2340897893
W3035524453,W2412782625
W3035524453,W2549139847
W3035524453,W2565639579
W3035524453,W2613718673
W3035524453,W2798991696
W3035524453,W2842511635
W3035524453,W2896457183
W3035524453,W2963150697
W3035524453,W2963341956
W3035524453,W2963420272
W3035524453,W3005680577
W3035524453,W4297808394
W3035524453,W639708223
W2302255633,W1677182931
W2302255633,W2097117768
W2302255633,W2117539524
W2302255633,W2183341477
W2302255633,W2194775991
W2302255633,W2274287116
W2302255633,W2949117887
W2302255633,W2963285578
W3126081245,W4236290419
W3096609285,W2194775991
W3096609285,W2565639579
W3096609285,W2896457183
W3096609285,W2962766617
W3096609285,W2962914239
W3096609285,W2963037989
W3096609285,W2963091558
W3096609285,W2963150697
W3096609285,W2963351448
W3096609285,W2963403868
W3096609285,W2964241181
W3096609285,W2964308564
W3096609285,W2970971581
W3096609285,W2982770724
W3096609285,W3106250896
W3096609285,W639708223
W2493916176,W2962784628
W2953384591,W2099471712
W2953384591,W2117539524
W2953384591,W2145339207
W2953384591,W2949117887
W2953384591,W2949650786
W2193503481,W1992193293
W2954996726,W1901129140
W2954996726,W1903029394
W2954996726,W1936750108
W2954996726,W2099471712
W2954996726,W2173520492
W2954996726,W2194775991
W2954996726,W2331128040
W2954996726,W2395579298
W2954996726,W2402144811
W2954996726,W2581082771
W2954996726,W2592929672
W2954996726,W2593414223
W2954996726,W2618530766
W2954996726,W2949117887
W2954996726,W2953106684
W2954996726,W2962760235
W2954996726,W2963207607
W2954996726,W2963446712
W2954996726,W2963470893
W2954996726,W2964024144
W2954996726,W3099206234
W2271840356,W2097117768
W2271840356,W2949117887
W2345356016,W1533942137
W2900756811,W2207291742
W2560609797,W1644641054
W2560609797,W1920022804
W2560609797,W2211722331
W2560609797,W603908379
W2763766763,W2149868499
W3096831136,W2099471712
W3096831136,W2559655401
W3096831136,W2612690371
W2513506562,W1999167944
W1522734439,W1947481528
W2786358356,W1951724000
W2786358356,W2749069611
W3018757597,W1536680647
W3018757597,W1677182931
W3018757597,W1903029394
W3018757597,W1936750108
W3018757597,W2109255472
W3018757597,W2183341477
W3018757597,W2194775991
W3018757597,W2279098554
W3018757597,W2412782625
W3018757597,W2549139847
W3018757597,W2565639579
W3018757597,W2570343428
W3018757597,W2612445135
W3018757597,W2613718673
W3018757597,W2765407302
W3018757597,W2796347433
W3018757597,W2884585870
W3018757597,W2949117887
W3018757597,W2955425717
W3018757597,W2962766617
W3018757597,W2963037989
W3018757597,W2963125010
W3018757597,W2963150697
W3018757597,W2963163009
W3018757597,W2963351448
W3018757597,W2963420686
W3018757597,W2963446712
W3018757597,W2963454111
W3018757597,W2963857746
W3018757597,W2964241181
W3018757597,W2982083293
W3018757597,W2982770724
W3018757597,W2997747012
W3018757597,W3035414587
W3018757597,W3106250896
W2766447205,W2145339207
W2766447205,W2192203593
W2766447205,W2194775991
W2766447205,W2257979135
W2766447205,W2919115771
W2766447205,W2949117887
W2766447205,W2964043796
W1902237438,W1514535095
W1902237438,W2964308564
W1885185971,W1930824406
W1885185971,W2618530766
W3099206234,W2097117768
W2962785568,W2117539524
W2962785568,W2242218935
W2962785568,W2279098554
W2962785568,W2331128040
W2962785568,W2475287302
W2962785568,W2963073614
W2962785568,W2963372104
W2962785568,W2963420272
W2962785568,W2963470893
W2754799758,W1780778418
W2754799758,W2305278139
W2754799758,W2524597629
W2607129810,W1533942137
W2607129810,W2012034410
W2612445135,W1821462560
W2612445135,W2117539524
W2612445135,W2119144962
W2612445135,W2183341477
W2612445135,W2194775991
W2612445135,W2274287116
W2612445135,W2279098554
W2612445135,W2949117887
W2612445135,W2953106684
W2612445135,W3099206234
W2612445135,W3106250896
W2884561390,W1536680647
W2884561390,W1903029394
W2884561390,W2194775991
W2884561390,W2274287116
W2884561390,W2549139847
W2884561390,W2565639579
W2884561390,W2570343428
W2884561390,W2613718673
W2884561390,W2963037989
W2884561390,W2963150697
W2884561390,W2964350391
W2884561390,W3106250896
W2884561390,W639708223
W2963524571,W1522734439
W2963524571,W1836465849
W2963524571,W1947481528
W2963524571,W2194775991
W2963524571,W2271840356
W2963524571,W2507009361
W2963524571,W2613718673
W2963524571,W2619947201
W2963524571,W2949117887
W2963524571,W639708223
W2611772571,W1989120577
W2611772571,W2607030186
W2611772571,W2611772571
W2962770929,W2475287302
W2962770929,W2603777577
W2962770929,W2804078698
W2962770929,W2962785568
W2962770929,W2963373786
W2962770929,W2963800363
W2962770929,W2963890275
W2962770929,W4294643831
W2962770929,W4295521014
W2962770929,W4301206121
W2962914239,W1677182931
W2962914239,W1901129140
W2962914239,W1903029394
W2962914239,W2194775991
W2962914239,W2464708700
W2901669506,W2105321265
W2901669506,W2891378911
W3001195213,W2903899730
W2559588208,W2110256992
W2559588208,W2173732482
W2559588208,W2178043251
W2239306219,W1495403436
W2239306219,W2239306219
W1897139626,W1767470961
W1901616594,W2145339207
W1901616594,W2618530766
W2963857521,W1821462560
W2963857521,W2117539524
W2963857521,W2145339207
W2963857521,W2183341477
W2963857521,W2194775991
W2963857521,W2243397390
W2963857521,W2257979135
W2963857521,W2963285578
W2963857521,W2964082701
W2963125010,W1821462560
W2963125010,W1836465849
W2963125010,W1895577753
W2963125010,W1903029394
W2963125010,W2097117768
W2963125010,W2117539524
W2963125010,W2119144962
W2963125010,W2183341477
W2963125010,W2194775991
W2963125010,W2279098554
W2963125010,W2300242332
W2963125010,W2302255633
W2963125010,W2531409750
W2963125010,W2549139847
W2963125010,W2613718673
W2963125010,W2752782242
W2963125010,W2949117887
W2963125010,W2963420686
W2963125010,W2964081807
W2963125010,W2964350391
W2963125010,W4297775537
W2963125010,W639708223
W1617145133,W1617145133
W1617145133,W2098082628
W1617145133,W2141970008
W1617145133,W2170552969
W1617145133,W2470481127
W1617145133,W2527824850
W3136918052,W4210702584
W2508457857,W1677182931
W2508457857,W1836465849
W2508457857,W1930824406
W2508457857,W1963882359
W2508457857,W2097117768
W2508457857,W2194775991
W2508457857,W2242218935
W2508457857,W2618530766
W2508457857,W2949117887
W2463195069,W1973094248
W2463195069,W1989277387
W2463195069,W2110256992
W2970641574,W2896457183
W2970641574,W2963341956
W2970641574,W2963403868
W2970641574,W2965373594
W2970641574,W2970597249
W2970641574,W3099206234
W2970641574,W4385245566
W2895486342,W2082704080
W2895486342,W2104549677
W2895486342,W2256016639
W2895486342,W2511515754
W2177603935,W1992769383
W2177603935,W4236463097
W2962784628,W1902237438
W2962784628,W2964308564
W3083406432,W2734356283
W3083406432,W3007643904
W3083406432,W3083406432
W3083406432,W3136918052
W2883251903,W1973094248
W2963864421,W2145339207
W2963864421,W2949117887
W2534691303,W2261135145
W2630837129,W2271840356
W2749069611,W1951724000
W2749069611,W2577537660
W2102212449,W2069089843
W2102212449,W2135937351
W3092861045,W1617145133
W3092861045,W2751884637
W3092861045,W2899773405
W3092861045,W2909678677
W3092861045,W2912654919
W3092861045,W3092849554
W3092861045,W3159281654
W1514535095,W1895577753
W1514535095,W1905882502
W1514535095,W1947481528
W1514535095,W2097117768
W1514535095,W2618530766
W1514535095,W2964308564
W2174661749,W2060427373
W2579533542,W2206071891
W2790166049,W2118836230
W2790166049,W2232384272
W2341539131,W2076154138
W2341539131,W2135937351
W2791453970,W1617145133
W2791453970,W1972643702
W2791453970,W2419228228
W2791453970,W2527824850
W2899760200,W2544360569
W2242218935,W1677182931
W2242218935,W1885185971
W2242218935,W1963882359
W2242218935,W2557283755
