cited,cites
W2103017472,W2141652419
W2103017472,W3112600195
W2103017472,W2133790733
W2103017472,W4213149192
W2103017472,W2141885858
W2105831729,W2137813581
W2105831729,W2106403318
W2120160157,W2132616700
W2024046085,W1678356000
W2036063909,W1574378514
W2166982098,W2168569455
W2166982098,W2098685541
W2055666215,W2096525273
W2055666215,W2061008984
W1678356000,W2024046085
W2168909179,W2127230663
W2168909179,W2061008984
W2168909179,W2141885858
W2161163382,W1587094587
W2158049821,W2163059190
W2148726987,W2098979973
W2143516773,W2121947440
W2166667242,W2290312602
W2163059190,W2101963262
W2163059190,W2158049821
W2137813581,W2121606987
W2132870739,W1576520375
W2132870739,W1964357740
W2032285541,W2089402107
W2032285541,W2116006659
W2126105956,W2145479420
W2126105956,W2125899728
W2124637492,W1645305843
W2124637492,W2130790725
W2124637492,W2038195874
W2124637492,W1650797637
W2168452204,W2106335692
W2168452204,W2148251644
W2127774996,W2144362290
W2109364787,W2152195021
W2130403046,W2106335692
W2130403046,W2148251644
W2160337655,W2126736494
W2160337655,W1749494163
W2067191022,W2099244020
W2128016314,W2168909179
W2128016314,W2061008984
W2128016314,W2136145671
W2156267802,W1550443206
W2052644075,W2148726987
W2104846640,W2148251644
W2104846640,W2106335692
W2165299997,W2109364787
W2165299997,W2152195021
W2143426320,W2147246240
W2112680994,W2161728228
W4235770099,W2148726987
W2004293194,W2136573752
W2169245194,W2152195021
W4255411484,W2047805825
W2136145671,W2168909179
W2136145671,W2055666215
W2170102584,W1490482062
W2121927366,W2121947440
W2119652992,W2089402107
W2035908878,W1494075612
W2099249565,W2108244474
W2153624566,W2110699703
W2153624566,W2156737316
W2166706824,W1576520375
W2070493638,W1678356000
W2070493638,W2024046085
W2104974755,W2143516773
W2104974755,W2167667767
W2104974755,W2113137767
W2018514036,W2089402107
W2084864304,W1631356911
W2159675211,W2126602684
W2100379340,W2166982098
W2100379340,W2168569455
W2146058063,W2994240441
W2146058063,W2141913814
W1880262756,W2107743791
W2148606196,W2124637492
W2148606196,W2161728228
W2148606196,W2167869241
W2148606196,W2130790725
W2148606196,W2156737316
W2148606196,W2153624566
W2148606196,W2038195874
W2148606196,W2018045523
W2148606196,W2110699703
W2148606196,W2065304353
W2103546861,W2994240441
W2103546861,W3217097258
W2103546861,W2161444534
W2096525273,W3097145107
W2096525273,W2899070097
W2096525273,W2177317049
W2096525273,W2055666215
W2096525273,W2122732537
W2096525273,W1499500424
W2096525273,W2020541351
W2096525273,W2119412782
W2096525273,W2165674132
W2096525273,W2107903949
W2096525273,W1544923801
W2096525273,W2116041602
W2096525273,W4210400672
W2096525273,W2141885858
W2096525273,W2133790733
W2096525273,W2103017472
W2096525273,W2123060905
W2096525273,W2127774996
W2096525273,W2155606054
W2096525273,W2130479394
W2096525273,W2146341019
W2170989872,W2120865735
W2170989872,W2038437697
W1964895626,W2105381419
W1964895626,W4294107304
W1964895626,W2126602684
W1964895626,W2157795344
W2122683221,W4294216483
W2122683221,W2103017472
W2122683221,W2096525273
W1999908724,W2164043498
W1999908724,W2022085591
W2120865735,W2170989872
W2002726823,W1575585006
W2002726823,W1486722793
W2002726823,W1567420244
W2158489424,W2156434383
W2158489424,W2098126593
W2158489424,W2141042406
W2158489424,W2110755408
W2154139219,W2103017472
W2154139219,W2141885858
W1574235309,W2168569455
W1574235309,W1608836379
W2097308346,W2053186076
W2097308346,W2001141328
W2097308346,W2165874743
W2135273380,W2168676717
W2017044005,W2142960568
W2143238378,W2096525273
W2143238378,W2164004777
W2143238378,W4213149192
W2143238378,W2122732537
W2131846894,W2124404372
W2147555557,W2148726987
W1990911977,W4239696231
W2136850043,W2065304353
W2136850043,W2167869241
W2136850043,W2037036397
W2136850043,W2084619201
W2136850043,W2130790725
W2136850043,W2156737316
W2136850043,W2103017472
W2136850043,W2165874743
W2136850043,W2159675211
W2166272087,W2070808447
W2892380133,W2096684396
W2159094788,W2042281163
W2171380100,W2113583180
W1708393801,W2168569455
W1708393801,W1608836379
W2031553845,W2028011121
W2163199119,W2059382687
W2163199119,W2151922790
W2163199119,W1965306643
W2163199119,W2167557255
W2163199119,W1992941735
W2163199119,W1920303762
W2142237411,W4294216483
W2121512231,W2161339576
W2121512231,W1619623942
W2121512231,W2141042406
W2121512231,W2158489424
W2121512231,W2098126593
W2151103935,W2124404372
W2133665775,W2159269332
W2132629607,W2130479394
W2132629607,W2095724872
W2132926880,W2127774996
W2132926880,W2144362290
W2144081223,W2130479394
W2128495200,W2123649031
W2147993766,W2131288855
W1995031937,W2068719957
W1995031937,W2104057213
W2162530578,W2152664025
W2162530578,W2058401000
W2095293504,W2124637492
W2095293504,W2148606196
W2095293504,W2038195874
W2095293504,W2171707538
W2158266834,W2141885858
W2107396783,W2146890818
W2107396783,W1888172398
W2107396783,W2165744313
W2160697532,W2038437697
W1964357740,W2132870739
W1964357740,W2153635508
W1964357740,W1576520375
W2152121970,W2129766733
W2152121970,W2148963518
W2081098333,W2038437697
W2081098333,W2122598723
W2081098333,W2109972881
W2081098333,W2157795344
W2146396346,W2156434383
W2146396346,W1522592213
W2146396346,W3217097258
W2158196600,W2057765075
W2158196600,W2009435671
W1985588649,W2009423060
W2063978378,W2024046085
W2063978378,W1678356000
W2063978378,W2084341220
W3151685851,W1721421031
W3151685851,W1996293917
W3151685851,W2166982098
W1519266993,W2132926880
W1519266993,W2144362290
W1519266993,W2127774996
W1519266993,W2130479394
W2154652894,W2101105183
W2136451344,W1721421031
W2136451344,W1996293917
W2136451344,W2166982098
W2160660844,W2166706824
W2160660844,W2038721957
W2047940964,W2124637492
W2047940964,W2148606196
W2047940964,W2167869241
W2047940964,W2095293504
W2047940964,W2089458547
W2105423509,W1577577364
W2105423509,W2120865735
W2105423509,W2109972881
W2105423509,W2107277218
W2105423509,W2136145671
W2155806125,W2103546861
W2161746138,W4213149192
W2161746138,W2152770371
W1972673502,W4241456496
W2124459709,W2025415734
W3122074090,W3126105906
W1971040550,W2042281163
W1580389772,W2159269332
W1580389772,W2133665775
W2107282968,W2151464048
W2107282968,W2124281279
W2119132330,W2101225175
W2089458547,W2124637492
W2089458547,W2095293504
W2089458547,W2148606196
W2121677860,W2146396346
W2121677860,W3217097258
W2116634113,W2170989872
W2116634113,W2159400887
W2116634113,W2120865735
W2116634113,W2038437697
W2116634113,W2122598723
W2116634113,W1544923801
W2129163149,W2091395676
W2129163149,W2049424645
W2009423060,W1985588649
W2130410032,W2123106337
W2130410032,W2097413644
W2161969291,W2177274842
W2161969291,W2151103935
W2161969291,W1576520375
W2161339576,W1619623942
W2161339576,W2141042406
W2161339576,W2098126593
W2161339576,W2158489424
W2112776483,W2117779820
W2112776483,W1985949400
W2122825543,W2063978378
W2122825543,W2074682976
W2122825543,W2143426320
W2122825543,W2138550913
W2122825543,W4294107304
W2122825543,W2157795344
W2122825543,W2171033594
W2171268876,W2123768693
W2171268876,W2127522551
W2171268876,W2118233996
W2129660502,W2171380100
W2139416101,W2120160157
W2139416101,W2149507322
W2106335692,W2148251644
W2159752439,W2166244948
W2159752439,W2003193361
W2071707134,W2137775453
W2071707134,W2129766733
W2071707134,W1985093013
W2164154943,W2103017472
W2134233006,W2058122340
W2154053567,W2147246240
W2171960770,W1971040550
W2171960770,W2159094788
W2171960770,W2042281163
W2118233996,W2147993766
W2118233996,W2024726841
W2536620281,W1967344706
W2536620281,W2213594914
W2055298722,W2103546861
W2055298722,W2146058063
W1760829075,W2162010696
W1760829075,W2129900561
W4239149238,W2102234847
W2138019504,W2063978378
W2138019504,W2074682976
W4230920194,W2004293194
W4230920194,W2118421222
W4230920194,W2136573752
W2090249381,W2022548072
W2090249381,W1989668498
W2090249381,W2012407814
W2090249381,W2006165291
W2090249381,W2176202464
W2152301430,W2161062388
W2152301430,W4210400672
W2152301430,W2060809301
W2152301430,W2096525273
W2152301430,W2141885858
W2097073572,W2099244020
W2177274842,W2057175746
W2177274842,W2151103935
W2177274842,W2163352848
W2177274842,W2131846894
W2177274842,W2124404372
W2099175737,W2107396783
W2099175737,W2165744313
W2099175737,W2146890818
W1986792585,W1539835075
W2099304543,W2049350168
W2060705109,W2130790725
W2060705109,W2038437697
W2060705109,W2018045523
W2060705109,W2142437744
W2060705109,W2124637492
W1976579441,W2075884494
W2287814884,W2543580944
W2023999328,W3021353408
W2164928285,W2124637492
W2164928285,W2018045523
W2164928285,W2089458547
W2164928285,W2084619201
W1976759885,W2142289369
W1976759885,W2103948957
W1976759885,W2105827100
W1976759885,W2274815048
W1976759885,W2083919264
W1976759885,W2103317434
W1976759885,W2002311592
W1976759885,W2161586297
W1976759885,W2131022626
W1976759885,W2099784075
W1976759885,W2606995208
W1976759885,W2006970256
W2161080627,W2167366201
W1979290264,W2170816415
W4250955649,W2116148865
W4250955649,W2145096794
W2100495367,W2136922672
W2100495367,W2053186076
W2100495367,W2001141328
W2136922672,W2057175746
W2136922672,W2116064496
W2168696662,W2103546861
W2168696662,W1971415551
W2168696662,W2146058063
W2145096794,W2116148865
W2136334331,W2134233006
W2136334331,W2058122340
W2101135654,W2110208125
W2101135654,W2004293194
W2101135654,W2151130155
W2101135654,W2058046532
W2151936673,W2153624566
W2151936673,W2124637492
W2151936673,W2148606196
W2151936673,W2120043163
W2151936673,W2095293504
W2151936673,W2089458547
W2151936673,W2047940964
W2156125289,W2154139219
W2156125289,W2105275554
W1565746575,W2009543464
W1988925586,W1577577364
W1988925586,W2146396346
W1988925586,W2155806125
W2070722739,W2124637492
W2070722739,W2018045523
W2070722739,W2148606196
W2070722739,W2089458547
W2070722739,W2153624566
W2070722739,W2130790725
W2070722739,W1650797637
W2070722739,W2161728228
W2070722739,W2038195874
W2070722739,W2114104729
W2070722739,W2095293504
W2070722739,W2156737316
