id,title,year,concepts,primary_topic
W2103017472,Gene Ontology: tool for the unification of biology,2000,'computational biology';'computer science';'controlled vocabulary';'epistemology';'function (biology)';'gene expression';'gene ontology';'gene';'genetics';'linguistics';'ontology';'organism';'philosophy'];'vocabulary';'world wide web';['biology',Computer Science|Genetics|Biology
W2130479394,The Protein Data Bank,2000,'biochemistry';'bioinformatics';'biology';'computer network'];'computer science';'data bank';'protein data bank';'protein structure';'resource (disambiguation)';'telecommunications';['protein data bank (rcsb pdb)',Computer Science|Biology
W4294216483,KEGG: Kyoto Encyclopedia of Genes and Genomes,2000,'biology';'computational biology';'computer science'];'database';'gene expression';'gene';'genetics';'genome project';'genome';'transcriptome';['kegg',Computer Science|Genetics|Biology
W2098126593,Inference of Population Structure Using Multilocus Genotype Data,2000,'allele frequency';'allele';'artificial intelligence';'cluster analysis';'computational biology';'computer science';'demography';'evolutionary biology';'gene';'genetic data';'genetic structure';'genetic variation';'genetics';'genotype';'inference';'locus (genetics)';'microsatellite';'population genetics';'population structure';'population';'sociology'];['biology',Computer Science|Genetics|Biology
W2168569455,A Theoretical Extension of the Technology Acceptance Model: Four Longitudinal Field Studies,2000,'accounting';'applied psychology';'business';'cognition';'computer science';'human–computer interaction';'law'];'machine learning';'neuroscience';'perception';'political science';'psychology';'social psychology';'structural equation modeling';'technology acceptance model';'usability';'variance (accounting)';['voluntariness',Computer Science|Sociology
W2170899200,Intrinsic and Extrinsic Motivations: Classic Definitions and New Directions,2000,'cognitive evaluation theory';'cognitive psychology';'competence (human resources)';'computer science';'construct (python library)';'epistemology';'goal theory';'intrinsic motivation';'law';'philosophy'];'political science';'programming language';'psychology';'self-determination theory';'social psychology';['autonomy',Computer Science
W2139248078,New Guidelines to Evaluate the Response to Treatment in Solid Tumors,2000,'cancer';'clinical trial';'computer science';'engineering';'intensive care medicine';'internal medicine';'management science';'mathematics';'medical physics';'medicine';'operating system';'operations research';'pathology';'phases of clinical research'];'process (computing)';'programming language';'set (abstract data type)';'solid tumor';['response evaluation criteria in solid tumors',Computer Science|Mathematics
W2121947440,Normalized cuts and image segmentation,2000,'business'];'computer science';'computer vision';'graph';'image (mathematics)';'image segmentation';'image texture';'market segmentation';'marketing';'mathematics';'pattern recognition (psychology)';'range segmentation';'scale-space segmentation';'segmentation';'segmentation-based object categorization';'similarity (geometry)';'theoretical computer science';['artificial intelligence',Computer Science|Mathematics|Sociology
W2124517301,The Unity and Diversity of Executive Functions and Their Contributions to Complex “Frontal Lobe” Tasks: A Latent Variable Analysis,2000,'artificial intelligence';'classical conditioning';'cognition';'cognitive flexibility';'cognitive psychology';'computer science';'conditioning'];'confirmatory factor analysis';'developmental psychology';'frontal lobe';'latent inhibition';'latent variable';'machine learning';'mathematics';'neuropsychology';'neuroscience';'programming language';'psychology';'set (abstract data type)';'statistics';'structural equation modeling';'task switching';'wisconsin card sorting test';['executive functions',Computer Science|Mathematics
W2053186076,Nonlinear Dimensionality Reduction by Locally Linear Embedding,2000,'algorithm';'artificial intelligence';'cluster analysis';'computer science';'curse of dimensionality';'diffusion map';'embedding';'geometry';'isomap';'mathematical analysis'];'mathematics';'maxima and minima';'nonlinear dimensionality reduction';'nonlinear system';'pattern recognition (psychology)';'physics';'quantum mechanics';'reduction (mathematics)';'visualization';['dimensionality reduction',Computer Science|Mathematics|Physics
