id,title,year,concepts,referenced_works,primary_topic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2194775991,Deep Residual Learning for Image Recognition,2016,"['Residual', 'Computer science', 'Coco', 'Artificial intelligence', 'Object detection', 'Deep learning', 'Segmentation', 'Pattern recognition (psychology)', 'Set (abstract data type)', 'Layer (electronics)', 'Artificial neural network', 'Task (project management)', 'Machine learning', 'Residual neural network', 'Deep neural networks', 'Algorithm', 'Chemistry', 'Management', 'Organic chemistry', 'Economics', 'Programming language']","['W1530872699', 'W1533861849', 'W1536680647', 'W1554663460', 'W1665214252', 'W1677182931', 'W1686810756', 'W1690739335', 'W1799366690', 'W1811843574', 'W1836465849', 'W1861492603', 'W1903029394', 'W1904365287', 'W1932624639', 'W1932847118', 'W194249466', 'W1976921161', 'W1984309565', 'W1997542937', 'W2022532533', 'W2025357764', 'W2031489346', 'W2064675550', 'W2066941820', 'W2097117768', 'W2102605133', 'W2107878631', 'W2117539524', 'W2117812871', 'W2124509324', 'W2125930537', 'W2139398462', 'W2147238549', 'W2147800946', 'W2152424459', 'W2155893237', 'W2159979951', 'W2161388792', 'W2163605009', 'W2168894214', 'W2179352600', 'W2206858481', 'W2328425223', 'W2613718673', 'W2914484425', 'W2950094539', 'W2950621961', 'W2951603627', 'W2952009708', 'W2962835968', 'W2963504252', 'W2963542991', 'W2964103341', 'W2964118293', 'W3037950864', 'W3038058348', 'W3118608800', 'W4212915314', 'W4231990273', 'W4238404964', 'W4242212377', 'W4285719527', 'W639708223']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1901129140,U-Net: Convolutional Networks for Biomedical Image Segmentation,2015,"['Computer science', 'Artificial intelligence', 'Segmentation', 'Margin (machine learning)', 'Sliding window protocol', 'Context (archaeology)', 'Path (computing)', 'Image segmentation', 'Pattern recognition (psychology)', 'Network architecture', 'Image (mathematics)', 'Window (computing)', 'Convolutional neural network', 'Computer vision', 'Machine learning', 'Computer network', 'Operating system', 'Paleontology', 'Biology']","['W1677182931', 'W1686810756', 'W1893585201', 'W1903029394', 'W1948751323', 'W1969013163', 'W2106146968', 'W2141273399', 'W2147800946', 'W2148349024', 'W2155893237', 'W2163605009', 'W2167510172']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W1951724000,Fitting Linear Mixed-Effects Models Using<b>lme4</b>,2015,"['Restricted maximum likelihood', 'Deviance (statistics)', 'Mixed model', 'Smoothing', 'Applied mathematics', 'Likelihood function', 'Mathematics', 'Generalized linear model', 'Linear model', 'Maximum likelihood', 'Generalized linear mixed model', 'Covariate', 'Algorithm', 'Statistics', 'Mathematical optimization', 'Computer science']","['W1231265883', 'W1520511539', 'W1549371580', 'W1587094587', 'W1756240476', 'W1770100412', 'W1864722563', 'W1967282477', 'W1972790352', 'W1981457167', 'W1981747359', 'W1983955927', 'W1991769471', 'W2018089423', 'W2033623507', 'W2045656233', 'W2068047481', 'W2070779353', 'W2082246284', 'W2089024363', 'W2094761105', 'W2097879961', 'W2100128674', 'W2105208711', 'W2129731748', 'W2145147745', 'W2149719430', 'W2149851338', 'W2155382668', 'W2165693128', 'W2172199324', 'W2413573154', 'W2500756573', 'W2582743722', 'W2798510847', 'W3031689935', 'W3086315876', 'W348255556', 'W4248681815', 'W4285719527', 'W4302067479', 'W4323359902', 'W4399526077', 'W4399568367', 'W4399638382', 'W4399638802']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2919115771,Deep learning,2015,"['Computer science', 'Deep learning', 'Artificial intelligence', 'Abstraction', 'Representation (politics)', 'Layer (electronics)', 'Object (grammar)', 'Backpropagation', 'Convolutional neural network', 'Feature learning', 'Pattern recognition (psychology)', 'Speech recognition', 'Artificial neural network', 'Philosophy', 'Chemistry', 'Organic chemistry', 'Epistemology', 'Politics', 'Political science', 'Law']","['W146900863', 'W1498436455', 'W1573503290', 'W1752712236', 'W1970689298', 'W1978592082', 'W1993845689', 'W1993882792', 'W1999497791', 'W1999798000', 'W2022508996', 'W2025768430', 'W2064675550', 'W2072128103', 'W2074551195', 'W2085989895', 'W2088338354', 'W2091987367', 'W2095739681', 'W2098580305', 'W2100495367', 'W2107878631', 'W2108069432', 'W2111304802', 'W2112796928', 'W2116360511', 'W2117671523', 'W2120284346', 'W2120432001', 'W2121289914', 'W2136922672', 'W2144015117', 'W2144354855', 'W2145339207', 'W2158778629', 'W2160815625', 'W2163922914', 'W2166206801', 'W2169805405', 'W2800394774', 'W3139812727', 'W4232280717', 'W4249882522']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W4385245566,Attention Is All You Need,2017,"['Computer science', 'Machine translation', 'Transformer', 'BLEU', 'Encoder', 'Artificial intelligence', 'Parallelizable manifold', 'Parsing', 'Natural language processing', 'Decoding methods', 'Language model', 'Task (project management)', 'Convolutional neural network', 'Speech recognition', 'Machine learning', 'Algorithm', 'Physics', 'Management', 'Quantum mechanics', 'Voltage', 'Economics', 'Operating system']",[],Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W639708223,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,2016,"['Computer science', 'Object detection', 'Artificial intelligence', 'Computer vision', 'Object (grammar)', 'Cognitive neuroscience of visual object recognition', 'Pattern recognition (psychology)']","['W1536680647', 'W1594098193', 'W1665214252', 'W1686810756', 'W1790312427', 'W1832500336', 'W1861492603', 'W1903029394', 'W1923115158', 'W1958328135', 'W1991367009', 'W2031489346', 'W2046382188', 'W2066624635', 'W2068730032', 'W2088049833', 'W2097117768', 'W2102605133', 'W2104446196', 'W2117287331', 'W2117539524', 'W2130306094', 'W2147800946', 'W2155893237', 'W2168356304', 'W2174407577', 'W2179352600', 'W2194775991', 'W2206858481', 'W2216125271', 'W2229637417', 'W2255499165', 'W2618530766', 'W2952009708', 'W2962835968', 'W2963542991', 'W2963690996', 'W2963758027', 'W4309299128', 'W639708223', 'W7746136', 'W809122546', 'W854541894']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2097117768,Going deeper with convolutions,2015,"['Computer science', 'Architecture', 'Convolutional neural network', 'Intuition', 'Artificial intelligence', 'Deep learning', 'Network architecture', 'Context (archaeology)', 'Artificial neural network', 'Scale (ratio)', 'Pattern recognition (psychology)', 'Machine learning', 'Computer network', 'Biology', 'Art', 'Paleontology', 'Philosophy', 'Physics', 'Epistemology', 'Quantum mechanics', 'Visual arts']","['W104184427', 'W1709548961', 'W1849277567', 'W1904365287', 'W2068730032', 'W2069277577', 'W2086161653', 'W2102605133', 'W2112796928', 'W2113325037', 'W2122283107', 'W2129305389', 'W2130306094', 'W2143915663', 'W2144982973', 'W2147800946', 'W2163605009', 'W2168231600', 'W2963542991', 'W2963911037', 'W388277973']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2963446712,Densely Connected Convolutional Networks,2017,"['Computer science', 'Benchmark (surveying)', 'Feature (linguistics)', 'Layer (electronics)', 'Convolutional neural network', 'Computation', 'Code (set theory)', 'Reuse', 'Object (grammar)', 'Convolutional code', 'Pattern recognition (psychology)', 'Artificial intelligence', 'Computer engineering', 'Algorithm', 'Set (abstract data type)', 'Programming language', 'Decoding methods', 'Engineering', 'Philosophy', 'Linguistics', 'Chemistry', 'Geodesy', 'Organic chemistry', 'Geography', 'Waste management']","['W1026270304', 'W104184427', 'W1677182931', 'W1690739335', 'W1836465849', 'W1903029394', 'W1948751323', 'W2095705004', 'W2097117768', 'W2102013737', 'W2108598243', 'W2109779438', 'W2112796928', 'W2116456623', 'W2117539524', 'W2123045220', 'W2147800946', 'W2156387975', 'W2162741153', 'W2163605009', 'W2168894214', 'W2173905264', 'W2174554700', 'W2183341477', 'W2194775991', 'W2294059674', 'W2302255633', 'W2331143823', 'W2333796428', 'W2335728318', 'W2337199865', 'W2401231614', 'W2406474429', 'W2408279554', 'W2430148947', 'W2464772092', 'W2950621961', 'W2952229419', 'W2962694510', 'W2962820688', 'W2963382180', 'W2963606038', 'W2963911037', 'W2963920537', 'W2963975324', 'W2964091842', 'W2964118293', 'W2964137095', 'W300523764', 'W3020975476', 'W3118608800', 'W4239072543', 'W4293439130', 'W830076066']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2963037989,"You Only Look Once: Unified, Real-Time Object Detection",2016,"['Object detection', 'Computer science', 'Bounding overwatch', 'Artificial intelligence', 'False positive paradox', 'Pipeline (software)', 'Frame (networking)', 'Computer vision', 'Pattern recognition (psychology)', 'Object (grammar)', 'Viola–Jones object detection framework', 'Class (philosophy)', 'Detector', 'Minimum bounding box', 'Frame rate', 'Base (topology)', 'False positives and false negatives', 'Image (mathematics)', 'Face detection', 'Mathematics', 'Telecommunications', 'Mathematical analysis', 'Facial recognition system', 'Programming language']","['W124653583', 'W1507506748', 'W1525954826', 'W1536680647', 'W1587734090', 'W1832500336', 'W1892339738', 'W1904365287', 'W1932624639', 'W2037227137', 'W2056025798', 'W2068730032', 'W2088049833', 'W2097117768', 'W2102605133', 'W2107634464', 'W2109255472', 'W2115763357', 'W2117287331', 'W2117539524', 'W2122146326', 'W2124386111', 'W2152513128', 'W2155541015', 'W2161969291', 'W2168356304', 'W2179352600', 'W2535410496', 'W2569333882', 'W2950179405', 'W2952009708', 'W2963542991', 'W2963690996', 'W2963911037', 'W3097096317', 'W3214102110', 'W4294375521', 'W48707324', 'W639708223', 'W7746136', 'W95258188']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W2896457183,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,2018,"['Transformer', 'Computer science', 'Training (meteorology)', 'Artificial intelligence', 'Electrical engineering', 'Engineering', 'Geography', 'Voltage', 'Meteorology']","['W131533222', 'W1486649854', 'W1599016936', 'W1840435438', 'W2025768430', 'W2108598243', 'W2117130368', 'W2121227244', 'W2130158090', 'W2130903752', 'W2131462252', 'W2131744502', 'W2144578941', 'W2149933564', 'W2153579005', 'W2158108973', 'W2158139315', 'W2170973209', 'W2250539671', 'W2251939518', 'W2270070752', 'W2396767181', 'W2413794162', 'W2462831000', 'W2507974895', 'W2525778437', 'W2551396370', 'W2610858497', 'W2784823820', 'W2806120502', 'W2880875857', 'W2886490473', 'W2888329843', 'W2891602716', 'W2897076808', 'W2949433733', 'W2951714314', 'W2962718483', 'W2962739339', 'W2962808855', 'W2963026768', 'W2963159690', 'W2963310665', 'W2963339397', 'W2963403868', 'W2963563735', 'W2963564796', 'W2963644595', 'W2963748441', 'W2963756346', 'W2963804993', 'W2963846996', 'W2963918774', 'W3098057198', 'W3104033643']",Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
